pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik,year,quarter
1981-06-24 21:16:00,AAAAAAAAAAAABAO,PREF_A,ACTV,NVG OScFatDPdCxtRNjUNHweeqKkETFRpUbDPfIrhfBEhXRX                      ,AMEX  ,501054197,18850813,19140717,1.8,0000000019,1981,Q2
1981-06-25 10:46:01,AAAAAAAAAAAABAQ,COMMON,ACTV,AtHvkCTbMhAKwDwMFehRRHOxLuFRrXGCxgHF                                  ,NYSE  ,484749081,18930613,19100120,2.55,aJpDhrkJNjyUuzhSCshNHHcqIiNTqUULLupPObSFfqUEilbKIVjLHFfzJg  ,1981,Q2
1981-06-26 08:31:05,AAAAAAAAAAAAAMK,PREF_C,INAC,OsGTRRtPHpSNcnMJJusTwAe                                               ,NASDAQ,991972998,19400120,18500628,2.88,0000000156,1981,Q2
1981-06-27 00:55:04,AAAAAAAAAAAABAJ,COMMON,ACTV,SwPBIAGkSclAAVtwtolGgBuIXmGWMkdKRMJwFAW                               ,PCX   ,271197778,19310827,18810628,0.88,0000000363,1981,Q2
1981-06-27 15:23:04,AAAAAAAAAAAABAL,PREF_A,ACTV,LBQjcgtIJSDT                                                          ,PCX   ,690643178,19750420,18540526,0.7,0000000312,1981,Q2
1981-06-28 01:13:01,AAAAAAAAAAAABAN,COMMON,ACTV,YyOBXQbHwOCTTlQDONoaVFRoQICPmhEHMIIoSFEp                              ,NYSE  ,990420001,19611015,18740704,1.76,jlkBZXPcVEbEkvquHcRWHHHVGNQxJWnBWpCCCKENWGMjHFABR           ,1981,Q2
1981-06-28 11:03:04,AAAAAAAAAAAABAP,COMMON,ACTV,IzLJHHwvBNRodzIFLblJzEIPRdcfu BKteHulTTCxnb                           ,NYSE  ,582375889,19621127,19750620,1.33,0000000195,1981,Q2
1981-06-29 09:34:03,AAAAAAAAAAAAAAP,PREF_A,ACTV,KdjTYfUJAcAKgDQTFqTEyUfFZxOhVQwhIoiJYyJePBzTMoEusUgsQByZ              ,PCX   ,114298789,19310822,18840512,1.07,BKFBinjpcLcrvbcMPDnAKRAXGQAf                                ,1981,Q2
1981-06-29 19:03:05,AAAAAAAAAAAABAI,PREF_A,ACTV,sWbeydlUznSAAWtrCuGRmdcCuaiTvFvNhcqP pvHOREIkAnFTIJophEVTZ aHgrMRTuYk ,NYSE  ,560333978,19380430,19220118,1.69,ANKZqXnAPolCevVlalzEIxkMBL                                  ,1981,Q2
1981-06-30 14:01:05,AAAAAAAAAAAABAK,PREF_A,ACTV,XVmONRNtUIBNdZwbrCyaLLbeuiOMVbLFLgUmWSuZzyZjybKQsCypgDcJBPGG          ,AMEX  ,810770658,19420815,19720903,2.0,fMtuHMuEOFRQYva                                             ,1981,Q2
1981-06-30 23:59:05,AAAAAAAAAAAABAM,PREF_A,ACTV,WBJrePWBFPEXgBSKGzyHkJSRJMKfMnzZMKvFxKDCPV                            ,AMEX  ,631119095,18950517,18500618,0.29,TzOOKJSXlzetRDAZNOaBGRiAoYkrPjDLzvR                         ,1981,Q2
1995-03-28 22:13:01,AAAAAAAAAAAABTJ,COMMON,ACTV,nugxKSRTsLkVIUtLTiYhNN                                                ,AMEX  ,339169139,19010713,18990513,0.86,0000000447,1995,Q1
1995-03-29 17:23:03,AAAAAAAAAAAABTK,COMMON,ACTV,MCcJR WmsqcsRkEGvFOJXROFa MBssEJYvcDDs                                ,NASDAQ,257749527,18600203,19190123,1.31,0000000384,1995,Q1
1995-03-29 21:42:03,AAAAAAAAAAAABTL,PREF_C,ACTV,F WxFswwtXINILjrAuuSXSWZTFaubbyQmBPWYLNOiqUZbbBHQNGoBMHGLSfYvKRo      ,AMEX  ,28859186,19211208,18871209,1.53,zfJiHEQXeHHNcQiFwGiIQukjqzaAlCyAVvOSSJ                      ,1995,Q1
1995-03-30 08:18:04,AAAAAAAAAAAABTM,COMMON,ACTV,eASORGylxlUjKxEcOPbLJEqkysiKYtcwGnEgbTUmCuxAWxZiklRKUuD               ,PCX   ,298430506,18831023,18951110,0.29,pKOuBCTLGQgLNoxCSjppVInLk                                   ,1995,Q1
1995-03-30 20:51:01,AAAAAAAAAAAABTN,COMMON,ACTV,cCCcvKytDBtBbVdNNErtcZAJkDHSXiPEILXpNcFUWXxKdKjNiNZWPxVDYpBhLqAdsZ    ,AMEX  ,216728450,19720107,18551120,1.78,jkQNtijTUPWIyACEHUwYDWHiAhSGWAQDZRfpau                      ,1995,Q1
1995-03-30 22:24:01,AAAAAAAAAAAABTO,COMMON,ACTV,uvfkEeTbXxTcQGQHBMGPQSUAoNTYECNFkUvgpbLNOgRRgLZ                       ,AMEX  ,227970660,18821220,19420905,1.93,fwgBnpdvTZOSgXdWcUTALKmnORwpMICpoFGGgQaSBRmAWVwGiExCPvmb    ,1995,Q1
1995-03-31 03:41:05,AAAAAAAAAAAABTP,COMMON,ACTV,GSjXbInKSQGkJoBzJlCpqWObDHrBWNNBySVFIV                                ,NASDAQ,427708963,19441113,19221014,2.13,guusyXiFIObzbnAbncuWArJBCYDZJFnlWSOSY                       ,1995,Q1
1995-03-31 09:38:01,AAAAAAAAAAAABTQ,COMMON,ACTV,lKK maxXkRgRizudHflCnsrZCQNHeizCIQpmembJTBNGBYzQwsqQlZM               ,NYSE  ,53123073,19800715,18771202,1.4,0000000121,1995,Q1
