pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
2006-12-30 03:57:01,AAAAAAAAAAAACJS,COMMON,ACTV,vguPecBdLUCPnBLVxwDCHgkkfeaAvTpgPgLdjmNiG                             ,AMEX  ,221068793    ,19050408,19670903,        2.04,wdaqHFLABRETyoRipKFHUoKJOMeSZc                              
2006-12-30 04:33:01,AAAAAAAAAAAACJU,COMMON,ACTV,EpPMp VeMDtzQMqROKVYszMmVduBvcJawQVTnfCaQXLneCLTuSE                   ,PCX   ,151094141    ,18621221,18890105,        0.71,kTRCSlnyVeYqQzHityJUECQLrhYRSYLXypldVZMdbQvGHVYfEaxjqkHG    
2006-12-30 16:35:04,AAAAAAAAAAAACJW,PREF_A,ACTV,zLZJHJlRKkMYCktoCwIVyLoPyoM                                           ,PCX   ,836340118    ,19950415,19001028,        2.07,bxgQQvZGTGLAhNiEtBeOi                                       
2006-12-30 17:13:05,AAAAAAAAAAAACJY,COMMON,ACTV,ppuWSQwzUzwconkBHR                                                    ,NASDAQ,558519244    ,19980530,19710807,        2.29,CaxEsCBcVbQxZWdPFfoBoIrGhPyOhtaVLPefoMOOvAnVbrwqUKtASAV     
2006-12-30 20:09:03,AAAAAAAAAAAAALU,PREF_A,INAC,HNITBvfgPcDXgpUhRL QgvgYOceSUUvdN                                     ,NYSE  ,62088780     ,19370105,18571214,        2.52,0000000044
2006-12-31 01:43:03,AAAAAAAAAAAACJR,PREF_B,ACTV,HJOjwaFAqiBKPuLqDSWLgLORvSPYg erSNFdOHLNmNYFDY                        ,PCX   ,85592505     ,19880311,18550306,        2.28,PPpRIPNDehUKmWWSVCVQZevFOFgaKKDbdIZTaHAWUfogoHb             
2006-12-31 10:03:02,AAAAAAAAAAAACJT,PREF_B,ACTV,CAKKslLLoCpqdDEVxQWaCksPGlOOELkOMeaEnLzsSphqlJFBhTMltXDTd             ,PCX   ,83583281     ,19130310,19310126,        2.98,0000000683
2006-12-31 10:47:01,AAAAAAAAAAAACJV,COMMON,ACTV,krhRpNHCkCMLmPUpmUgicILNqgRxwhuFzmNsPCJKYoTNwfFslyDvPVPgYNUMp         ,NASDAQ,116832780    ,19410607,19240609,        1.80,0000000230
2006-12-31 15:52:01,AAAAAAAAAAAACJX,COMMON,ACTV,UIVOVlviFVTeYICxUDkoUCaDjtwSHIIfTWUIXJALTxiKFo JrAPfVn F              ,NASDAQ,884598973    ,19440325,19750318,        2.45,0000000657
2006-12-31 20:41:00,AAAAAAAAAAAAAWV,COMMON,ACTV,MjQoASHGINSIzHVyDihBdPQzFDcRRSLuHXoiWTJHqOGEyOhgaIXLFTGMcAMUGH        ,NYSE  ,922916655    ,19180530,18810414,        0.51,XiKcfZmoGQnBHAdYEzmdTwSdbIDPEXDvLJbgRSdkrsLGrsJIESgMl       
2006-12-31 23:59:05,AAAAAAAAAAAACJQ,COMMON,ACTV,AXCBAkVVvoPgGuuAvLvDHARAuFcrBJZuBLqhuqhU                              ,NYSE  ,900713503    ,19180924,19030818,        2.81,eTcANylzQXFHQGlMNFjGTIJMUKqEqzKihgMdF                       
