pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
1972-06-20 22:38:01,AAAAAAAAAAAAAGS,COMMON,INAC,cMroCYieAmsIkhQHkvJPYIlUuoXVRqtmihuhQGsLTDQbMlg                       ,NYSE  ,4690457      ,18621231,19000803,        0.19,vnbESGDLPDBDVwsKNSXPqRYLGXjuxVJrQDsEcEVAYIyXWMFThaGbMIZNd   
1972-06-21 18:07:04,AAAAAAAAAAAAAOD,COMMON,ACTV,CJmbHDPxLUpIXQSYgUEWQLLYJXCErRpTmUnW                                  ,NYSE  ,173669636    ,18900928,18520513,        1.42,aoTgMQQOVPapOXWxUW                                          
1972-06-22 16:11:00,AAAAAAAAAAAAAOA,COMMON,ACTV,JOAECaNuiXiPVnTADmcddABKKjJADPeO RfCqKHZFJfJFTtFTRZIDO                ,PCX   ,452487384    ,18761022,18820429,        1.95,dovVSXAljJaoXNUagOsMWwA                                     
1972-06-24 01:10:04,AAAAAAAAAAAAANX,COMMON,ACTV,x  KHILTnN                                                            ,PCX   ,715410816    ,18800530,18580728,        2.26,0000000165
1972-06-24 11:41:01,AAAAAAAAAAAAAHR,COMMON,ACTV,RWH LIiWZmDHbbjrjtCCeYr hVlzveOUbUOycClwyMISHHVJDbvGFag               ,AMEX  ,344274355    ,19011031,19590223,        2.39,0000000058
1972-06-26 01:23:05,AAAAAAAAAAAAAOC,COMMON,ACTV,iSGMBJMBcXJumAT                                                       ,NYSE  ,638517238    ,19030721,19661202,        2.46,0000000091
1972-06-27 16:18:05,AAAAAAAAAAAAANZ,PREF_A,ACTV,GIQEVDbIcLMohHrEGMtlVSlKdWTzNAAXYMdsGRqyuKO TFEFQNSH                  ,NASDAQ,11332363     ,19270212,19390308,        2.83,0000000127
1972-06-28 03:51:05,AAAAAAAAAAAAANW,COMMON,ACTV,YjxlVNVcoOMSsgdbWt                                                    ,AMEX  ,429864747    ,19120404,18970401,        1.17,0000000111
1972-06-29 08:49:05,AAAAAAAAAAAAAOE,PREF_A,ACTV,coCIwRFsTcKVoUVZVfirFWBKAIbJGvPpfcRMBqXJaBd IFcyrzQJUhZpBVCUm         ,PCX   ,99194344     ,19220910,18830404,        1.99,jmClCXBcZwINVyetRxHbWYRbsYBIFkuIGtecXWIN                    
1972-06-29 20:03:04,AAAAAAAAAAAAAOB,PREF_A,ACTV,vRYGpduGHYcEiGqAlEapOmBkYwVGPsUdOHcIq                                 ,AMEX  ,795345792    ,19380606,18540718,        0.31,0000000101
1972-06-30 23:59:05,AAAAAAAAAAAAANY,COMMON,ACTV,CoAQsJRzmPnHSCACgUuNleVvCaEFDcHmDxrXDSbcndPH rrrbY BFILPCNAihPOyEcvDN ,AMEX  ,933777870    ,19560326,19120512,        0.74,0000000135
