pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
1984-03-28 17:18:00,AAAAAAAAAAAABEH,COMMON,ACTV,jTnulzHswItMS                                                         ,AMEX  ,706003058    ,18850608,19390328,        0.53,AlsjdyBBsgGUwetTlIiZTSPCmPyqOqtQaKJPzJMVjnITZOIdEQUtpHQGNPD 
1984-03-29 04:34:02,AAAAAAAAAAAABEJ,COMMON,ACTV,QHFIqnROqayIsdKliKGZKlletaLCGw PTHeQKPf                               ,NASDAQ,57944803     ,18731209,19660919,        2.86,OzjqKuNwhkyhggnIcbOUTzPkHmlLHjqBIaSPMTDPDgJNJNaJSWg         
1984-03-29 16:40:00,AAAAAAAAAAAABEL,COMMON,ACTV,nKLRYRsMBdyknliyfgTOGQkDVTHfVwKLtnNBHbNVWpumTAKVjEa GAsUTPSHC         ,NYSE  ,413046656    ,18610828,18670113,        0.89,0000000388
1984-03-30 12:51:04,AAAAAAAAAAAABAO,PREF_A,INAC,NVG OScFatDPdCxtRNjUNHweeqKkETFRpUbDPfIrhfBEhXRX                      ,AMEX  ,501054197    ,18860516,19151128,        1.80,0000000019
1984-03-30 13:40:01,AAAAAAAAAAAABEE,COMMON,ACTV,iGyEFDOxF tXAmRPgwLqjVyjjApF                                          ,NYSE  ,206791052    ,19001019,19400413,        1.29,0000000409
1984-03-30 18:38:02,AAAAAAAAAAAABEG,COMMON,ACTV,vRAbQHgSMXGHamkXvnARLGeBHpM                                           ,NYSE  ,144593104    ,19811118,19001102,        1.20,0000000168
1984-03-30 18:56:00,AAAAAAAAAAAABEI,COMMON,ACTV,qPbIpDyCEECEMTzDMRjG                                                  ,AMEX  ,686437121    ,18590113,19410524,        0.00,0000000205
1984-03-30 22:05:05,AAAAAAAAAAAABEK,COMMON,ACTV,MhaKGWrzBuVd RQiCDzdPppRFNvIXPUUgkOPDXZlBCDMVFFvnsNABgrSHEjIYrdVpA    ,AMEX  ,746677072    ,18640227,19330411,        0.58,0000000297
1984-03-31 05:02:05,AAAAAAAAAAAAAUM,COMMON,ACTV,KgUvUcoOdsVaTqaMQtNSLjv                                               ,AMEX  ,395633158    ,18601014,19340927,        0.51,VXpGhfFbmgISLSMZVQlpBtNxkRhiLKvoTFIEKvFgIOL                 
1984-03-31 06:40:00,AAAAAAAAAAAABED,COMMON,ACTV,dyCNoqoZsqRLrKpkhIFpOxcbPGzmfDfqYJUrVTO qmVBtoHRrVNSj                 ,PCX   ,101916421    ,19160912,18910204,        2.56,PRcxltWFKupyJhsFRtXRelVxLoYOFxYNPeOBNhoszHkHtQwRmjwLsEAEjGbR
1984-03-31 12:29:02,AAAAAAAAAAAABEF,COMMON,ACTV,lCOlHDOQgNCGsXVVdeSdYUPQEGOJTOML                                      ,NYSE  ,465805499    ,19070705,19401113,        1.86,HutKVDUnwNvgRCFTBJgHOFDzTTrLvduqBJhLGdBEQywzuFB             
