pts,year,quarter,quarter_start_date,posting_date,revenue,earnings,eps,diluted_eps,margin,inventory,assets,liabilities,sh_out,diluted_sh_out,co_name_or_cik
1977-01-01 11:17:01,1977,1,19770101,19770101,    9416131723.48,    3330648508.04,       10.46,        9.62,        0.35,     887659947.48,  554868782903.71,    6273505995.11,    318515619,    346148827,TnPMmqcoMKrBqUTeZoJVRjSkgpexMUwNdREkBnO                     
1977-01-01 11:31:02,1977,1,19770101,19770101,    7656412604.12,    2985876771.30,        8.32,        6.97,        0.39,     373313943.08,  139785668665.51,    9923308650.87,    358888732,    428335424,0000000214
1977-01-01 16:36:03,1977,1,19770101,19770101,    8748468787.91,    4796254891.46,       80.47,       78.54,        0.55,     352130610.76,  979320731381.37,    8100401146.94,     59605927,     61070112,mPMQctNfdlYBGEJcUJMKsAYRADEUETYwjTnFsJLBCbNRKrGOaMiTuCx     
1977-01-02 04:55:04,1977,1,19770101,19770102,    8962706424.13,    3516460323.86,       12.56,       12.52,        0.39,      24052460.29,   33879275949.17,    7052341740.68,    280012900,    280883082,0000000139
1977-01-02 05:32:05,1977,1,19770101,19770102,    6395095796.04,    2087197301.41,        2.13,        2.02,        0.33,     445922472.86,  217786958053.13,    4038260949.33,    978784867,   1032249130,0000000122
1977-01-02 16:51:00,1977,1,19770101,19770102,     283743866.95,     119202609.15,        0.12,        0.11,        0.42,     923459967.11,  980860423173.68,    9399848995.17,    974975386,   1068683782,TcNJcTGVGsTEWGXzvJcVyWUDIWEUoFLLNRjAqIVCoLQAFESuFoCGAzxIB   
1977-01-03 04:17:05,1977,1,19770101,19770103,    2082128214.97,     430459724.70,        0.88,        0.78,        0.21,     162365019.31,  624519406307.21,    9259982098.41,    489549440,    549388035,OBWjCTLirMOaFnMGgDcFs                                       
1977-01-03 08:10:02,1977,1,19770101,19770103,    6694428743.24,    4208049641.93,        4.46,        4.08,        0.63,     927943916.77,  661307522780.18,    1538361822.28,    944331893,   1032456710,0000000086
1977-01-03 08:41:01,1977,1,19770101,19770103,     579087240.02,     334867482.44,        0.94,        0.81,        0.58,     839158073.17,  757214587467.88,    4080012735.42,    356657519,    414633387,OCSmeMcZnwYFCQhAomWNQruAvEKYEtREwXPuP                       
1977-01-03 19:57:02,1977,1,19770101,19770103,    7350583113.99,    3614141722.75,        8.53,        7.11,        0.49,     750246740.57,  128745196891.65,    5775696052.52,    423684298,    508049720,0000000116
1977-01-04 00:04:02,1977,1,19770101,19770104,    6222533638.05,    1112284130.21,        1.20,        1.16,        0.18,     656209835.97,  933688997454.89,    8472852221.92,    924467247,    962233130,PTNTHCLWsriUMNBFhDQDGtmBPPNiLOSaNy                          
1977-01-04 07:59:00,1977,1,19770101,19770104,    4658822173.65,    1449021242.00,        4.61,        3.87,        0.31,       5676671.01,  656369511884.64,    5267249575.35,    314450263,    374632890,0000000204
1977-01-04 21:02:00,1977,1,19770101,19770104,    9075534822.11,    5330431243.23,        6.10,        5.12,        0.59,        504073.97,  738276845978.03,    3244011308.99,    874540006,   1042043523,JdDyzDDZWIcRGGNcTQAHfhHjUJKtfyJBNYvNYDIeaKDYtWs             
1977-01-04 22:36:00,1977,1,19770101,19770104,    9441256324.38,    4598381131.44,        6.18,        5.93,        0.49,     358376917.35,  213398212917.84,    9462524024.71,    744448877,    774888622,SAFZEJLLiMLuOrGrCmR                                         
1977-01-04 22:46:03,1977,1,19770101,19770104,    3932020768.58,    1931635057.48,        3.99,        3.38,        0.49,     260666054.08,  208759449880.91,     519466459.92,    483542844,    570789699,WDgzUZNxEQmyFsHDoROopKTxXNMJTbWgGi                          
1977-01-05 02:24:05,1977,1,19770101,19770105,     576121586.42,     213922047.06,        7.18,        6.72,        0.37,     227943990.38,  251530992584.67,    5488290381.49,     29782643,     31843354,0000000279
1977-01-05 16:23:00,1977,1,19770101,19770105,    9437045452.79,    6341690140.42,       24.24,       23.04,        0.67,     260194930.42,  792345537695.81,    3497636863.61,    261609206,    275271909,0000000073
1977-01-06 07:06:05,1977,1,19770101,19770106,    6487023236.04,    2781932163.32,        8.13,        7.06,        0.43,     833153907.59,  473221731677.54,    7307486455.19,    342160577,    393771574,0000000189
1977-01-06 17:51:04,1977,1,19770101,19770106,     202425054.24,     109351545.67,        0.13,        0.13,        0.54,     667609849.00,  154712879195.05,    9278028676.58,    813422567,    857892047,wJOkBHercikQYJdMIbNOgrHyjAnaRBq                             
1977-01-07 02:09:03,1977,1,19770101,19770107,    6685763199.74,    3412957752.48,        8.65,        8.32,        0.51,     439976206.77,   55424092720.13,    5448184459.26,    394493162,    410371275,PXHGIgtgIwrPWrHKVnNeiVkeGLJAXeREX                           
1977-01-07 05:23:00,1977,1,19770101,19770107,    4611555194.26,     383298515.96,        0.60,        0.54,        0.08,     259423707.57,  165701230094.97,    6026163187.76,    642219415,    707350802,0000000173
1977-01-07 07:43:03,1977,1,19770101,19770107,    7987660465.76,    2227670841.35,        3.97,        3.57,        0.28,     708150278.19,  525850405342.53,     423868982.92,    561401199,    624583555,0000000197
1977-01-07 11:50:03,1977,1,19770101,19770107,    2737782123.78,    1202816574.40,        1.52,        1.44,        0.44,     617041960.76,  672777025814.16,    2827827780.97,    791760733,    832649334,swaSHRQuKBkOQzDSWqmePyUKrMSsbxr                             
1977-01-07 16:27:04,1977,1,19770101,19770107,    5770467548.00,    3498131210.46,        5.40,        4.69,        0.61,     771763014.41,  969113169863.62,    7343763242.24,    648369247,    745732121,0000000167
