pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
2000-09-28 11:09:00,AAAAAAAAAAAACAZ,PREF_A,ACTV,LZtCqxgk IlBIfjUcMnYNsenYOeQuqirmQWaNOCOyrDUALHJYbPhPrFsHBXTUBVmZQmWqs,NYSE  ,378595221    ,19990329,19890903,        0.56,vkThCiGCDWxzSOELuwFOHqffmyIkXCZi                            
2000-09-28 15:50:05,AAAAAAAAAAAAAOK,PREF_B,ACTV,UxsRVPC RydeKrgYuSbJWQRCnpDSKxEvjRXGJq                                ,AMEX  ,602410972    ,19790909,18640513,        1.57,0000000665
2000-09-28 16:54:02,AAAAAAAAAAAACBG,COMMON,ACTV,lvTLLKBwVIGwdLPEUUJPyCSSyjpnFubxMZPFfFQBOUptVTCKuTIShVAzryGSlPtVQeS   ,PCX   ,183022329    ,19180828,19970815,        2.06,nCZCxxZURzzuiPMWgOtqVOHQHPFEW                               
2000-09-28 21:17:05,AAAAAAAAAAAACBE,COMMON,ACTV,esh RAKtjjkSrnBqAGINTiRII P BwzRCTJdiPbgHQexkgXBreFZHGkiJGVtxYlaNO    ,NYSE  ,33338615     ,19471123,19280427,        1.14,0000000228
2000-09-29 01:08:03,AAAAAAAAAAAACBC,COMMON,ACTV,HRVKTgnaQRMfsEQbXIUHkTwXmLurUEOHy                                     ,NASDAQ,52705026     ,19400511,19941028,        2.37,0000000219
2000-09-29 07:48:05,AAAAAAAAAAAACBA,COMMON,ACTV,ppVGldJogJJ xEpCKxVjiSNlTNFZbquLSQjSPBV cVbDCCRuBsJkll                ,NASDAQ,301265473    ,19610308,18601111,        2.91,0000000425
2000-09-29 14:41:04,AAAAAAAAAAAABVY,COMMON,INAC,IWUuSdjcrLJxOzOseIuLzTEYJcGzbufM                                      ,NYSE  ,462635581    ,19740210,19390319,        2.40,UGTLzMUCFokLJkoCWXYyJu                                      
2000-09-29 22:31:00,AAAAAAAAAAAACBH,COMMON,ACTV,WrnSdXNNQDu sBYUZZQkp                                                 ,AMEX  ,632549242    ,19121212,19780222,        2.73,0000000310
2000-09-30 00:53:02,AAAAAAAAAAAACBF,COMMON,ACTV,NXnlcHYKjtuEfNiYSirCxD                                                ,PCX   ,674150870    ,19730903,19690301,        2.26,0000000606
2000-09-30 11:54:03,AAAAAAAAAAAACBD,COMMON,ACTV,vVuIcxEXLqBhlcL HsPHgXxsMyORRSrWedNIbnbM tDJnrcmJwC Ei                ,PCX   ,229748732    ,19560711,19400322,        1.21,0000000733
2000-09-30 23:59:05,AAAAAAAAAAAACBB,COMMON,ACTV,zxChFbhEdgHMDRaUVwCs                                                  ,PCX   ,35784599     ,19701210,19820223,        2.58,GYJxzpvuXUvkKpQdXEXpVLKXQRN                                 
