pts,year,quarter,quarter_start_date,posting_date,revenue,earnings,eps,diluted_eps,margin,inventory,assets,liabilities,sh_out,diluted_sh_out,co_name_or_cik
2013-10-01 04:13:04,2013,4,20131001,20131001,    9728395108.67,    3194649495.66,        3.45,        3.28,        0.33,     949487754.89,  744659199980.28,    3544857927.81,    925782458,    974278006,0000000216
2013-10-01 07:45:00,2013,4,20131001,20131001,    6775522191.64,    3583979858.63,        8.86,        7.84,        0.53,     425511729.57,  147926901417.99,     888813685.20,    404673768,    457308263,XXuPAoJvfWkvkBWPDHTknGdDcQcVGpuxlyooeBTuwDOhFBbzx           
2013-10-01 12:15:00,2013,4,20131001,20131001,    6752765397.49,     244576237.96,        0.31,        0.27,        0.04,     368227221.48,  127133164016.01,    9759442177.05,    795071941,    914599112,0000000057
2013-10-01 17:04:02,2013,4,20131001,20131001,     682204683.47,      96555049.81,        0.10,        0.09,        0.14,     978875245.25,  870539300562.07,    1203374428.41,    963117386,   1095639285,qrRgNmsiVEAIHaEHQhuYVLtVnQC                                 
2013-10-01 18:18:00,2013,4,20131001,20131001,    2198518235.85,     451002926.78,        0.49,        0.45,        0.21,     242353697.68,  679173294699.57,    5281793888.43,    922763537,    999813053,RpEFmTSQLXsSTZRBOAJrhbGaiKtTejnrwRvygNqOXNKzS               
2013-10-01 23:13:04,2013,4,20131001,20131001,    1101975868.56,     388644289.63,        2.57,        2.44,        0.35,     269351668.80,  860519036847.12,    3159157716.95,    151205840,    159021125,0000000301
2013-10-02 01:04:02,2013,4,20131001,20131002,    5539968426.85,    1195834753.40,        4.93,        4.70,        0.22,     164456585.29,  507964513528.13,    8500076040.63,    242799142,    254495781,0000000970
2013-10-02 03:42:00,2013,4,20131001,20131002,    5862228518.89,    1387236429.32,        9.46,        8.29,        0.24,     119001733.89,  299394368528.37,    9037033186.80,    146599626,    167417496,0000000594
2013-10-02 06:14:05,2013,4,20131001,20131002,    9261524103.69,     509731331.88,        1.98,        1.71,        0.06,     609964472.16,  415827298875.01,    7579223884.53,    258066499,    298924595,fSGmRkBTWQDFUCUdiiAkNOLfhsANyUXk                            
2013-10-02 11:14:03,2013,4,20131001,20131002,      98543606.57,      11321713.33,        0.02,        0.02,        0.11,     404878052.45,   43451243849.65,    9713924915.53,    587620870,    694964454,0000000816
2013-10-02 13:06:02,2013,4,20131001,20131002,    8290924614.33,    1874201519.17,        2.29,        2.01,        0.23,     851176521.95,  469967529685.88,    1491733289.22,    818737847,    931714753,YQGJAkMQauyAfLJimRQCDJStNrLQAR                              
2013-10-02 13:22:05,2013,4,20131001,20131002,    6220998349.78,      12259273.41,        0.10,        0.09,        0.00,     435247700.57,  244341884362.34,    4531702315.44,    128756456,    139119096,0000000851
2013-10-02 17:13:04,2013,4,20131001,20131002,    4835299037.07,    1395297663.84,        2.72,        2.37,        0.29,     804045425.75,  856580293154.30,    7474632735.80,    512569436,    587653864,NiBcGbDvQsFXSbRxOUPzUvEKLCXRVlDFrhOUHduBWHC                 
2013-10-02 18:42:00,2013,4,20131001,20131002,    5579438719.73,      10050622.22,        0.05,        0.04,        0.00,      91786718.54,  693531668498.50,    1863958033.67,    207633726,    243507144,SQzLAZULoIrbcKOkHyWeQoiKtYipwXULjXZZf                       
2013-10-02 20:03:00,2013,4,20131001,20131002,    6969768165.02,     384752894.99,        1.42,        1.20,        0.06,     438938573.43,  592788899225.22,    3085257133.37,    271717135,    321396253,0000000750
2013-10-02 22:35:00,2013,4,20131001,20131002,    7024736158.14,    1712658494.58,        5.60,        4.93,        0.24,     213471596.77,  668339244351.24,    6065543264.37,    306016236,    347160803,0000000652
2013-10-03 03:47:00,2013,4,20131001,20131003,    9189074230.70,     177616214.56,        0.53,        0.50,        0.02,     960158290.56,  996956725874.46,    9201277793.87,    333419216,    354376613,0000000240
2013-10-03 06:24:05,2013,4,20131001,20131003,    8960132946.29,    1284458931.26,        3.65,        3.09,        0.14,      30660285.64,  371863200536.56,    1416485376.89,    351595801,    415752674,0000000973
2013-10-03 10:59:01,2013,4,20131001,20131003,    6808964720.23,     759870425.21,        2.24,        2.23,        0.11,     782734823.28,  372401641610.98,    8499313408.05,    338566317,    340737584,0000000780
2013-10-03 11:02:00,2013,4,20131001,20131003,    1687991332.32,     464644552.03,       35.54,       34.57,        0.28,     830484902.62,  429492574945.01,    2593203460.41,     13073763,     13439665,OdWLUpEGMNVEcbxCgwGraGKVcSMjQJGGBXKbeyxBqHPPOGUtDbFWaaoL    
2013-10-03 12:16:05,2013,4,20131001,20131003,    3827138446.89,    2645126146.86,       18.48,       16.77,        0.69,     810865587.12,  722288177148.56,    1533569970.83,    143104347,    157697563,XlMstoSukZznSjBWsWA                                         
2013-10-03 15:44:00,2013,4,20131001,20131003,    2414527176.20,     318480667.42,        0.37,        0.32,        0.13,     128756726.75,   63786903671.88,    2737046227.21,    861166044,    988698265,XzIzgeXASFZRyIGdTPxBZrt                                     
2013-10-03 17:47:02,2013,4,20131001,20131003,    4269684460.97,    2595384419.67,        5.21,        4.39,        0.61,      13329104.31,  449738307103.80,    9601523107.14,    498275235,    590674728,0000000235
2013-10-03 19:37:04,2013,4,20131001,20131003,     183482914.41,     108462909.23,        0.43,        0.37,        0.59,     274588739.21,  965784191261.73,    9180704503.67,    255025483,    291879755,0000000744
2013-10-03 19:52:04,2013,4,20131001,20131003,    6528828806.36,    1604676373.54,        8.54,        7.50,        0.25,     281930047.31,  340387177415.22,    6629248925.22,    187850262,    214001861,QPcDiFBJSijQDmaePYFMrLaDBCpPrNFXFPGlkLuVYPHzitd             
2013-10-03 20:32:05,2013,4,20131001,20131003,    4714475188.71,    3027990763.75,       38.74,       35.25,        0.64,     240379956.05,  756812134222.39,    7618564766.45,     78152924,     85910597,0000000998
2013-10-03 20:36:04,2013,4,20131001,20131003,    1834470545.66,     823397606.76,        3.45,        3.21,        0.45,     916428617.59,  803993260563.03,    5514141308.42,    238370185,    256637450,zmEtERekHepFHEOKNVYMZhPgUnpfHSFLlcEWhTVN                    
2013-10-04 01:25:04,2013,4,20131001,20131004,    3116882534.76,      39250845.07,        0.24,        0.21,        0.01,     986931457.89,  946479711466.14,    6765016380.77,    162602583,    190833855,DKFNKrcQChrjRebzdEHbBjJvgWVjNUgHdNflkIlDvKIMtlD             
2013-10-04 02:02:03,2013,4,20131001,20131004,    8871297415.12,    6045085749.03,       11.10,       10.15,        0.68,     346177899.42,  583665906768.30,    5868984010.59,    544515298,    595605323,EtJQPhAJzFXCusMJzbgMCpSsDXHKqSJUNPt                         
2013-10-04 05:30:00,2013,4,20131001,20131004,    2811214313.51,    1792554439.37,       35.30,       29.46,        0.64,     338663241.37,  243244737473.27,    5091837849.60,     50778067,     60836905,0000000532
2013-10-04 10:38:04,2013,4,20131001,20131004,    4121511548.40,    1076724831.26,        1.10,        0.98,        0.26,     917459289.26,  270811856515.46,    5177267300.62,    980031734,   1098517254,0000000149
2013-10-04 15:27:02,2013,4,20131001,20131004,    7401350928.37,    4090194523.76,       26.63,       25.43,        0.55,     401610636.45,  592804644430.65,    2462248165.14,    153583492,    160822419,0000000712
2013-10-04 18:36:00,2013,4,20131001,20131004,    1179021467.72,      81211656.09,        0.12,        0.11,        0.07,     880388450.99,  512687393637.05,    7101451305.99,    650206344,    744521087,JuHDDpOBOrGTvGNBSbgrTGHFwDYMlhVhVIzTSLSTdZkxdbxEOOA         
2013-10-04 22:04:03,2013,4,20131001,20131004,     609552544.91,     392350864.45,        0.41,        0.34,        0.64,     919303202.22,  155136946046.36,     154834925.71,    967864465,   1139972190,pfBlSmrRcOcFybUXuUBtJsRqzlboKGww                            
2013-10-04 23:12:02,2013,4,20131001,20131004,    7124814144.78,    1540558360.42,        3.84,        3.47,        0.22,     487492410.52,  416868705937.70,    4318307604.59,    400772375,    444225649,0000000786
2013-10-05 02:41:05,2013,4,20131001,20131005,    2187690931.74,    1409327406.93,        2.26,        2.13,        0.64,     513122837.86,  550214646327.92,    1171593081.15,    622681006,    660905604,0000000080
2013-10-05 05:09:00,2013,4,20131001,20131005,    5757836390.44,    2172593225.04,        2.68,        2.58,        0.38,      54445756.54,  572543049042.17,    5798748535.09,    810348019,    843469269,bGFUwQXggAZypFjRCphMxBp                                     
2013-10-05 05:18:03,2013,4,20131001,20131005,    1651625140.70,      56752368.97,        0.07,        0.07,        0.03,     981214937.34,  100245734721.53,    5128649996.53,    770815127,    846776219,0000000074
2013-10-05 05:31:05,2013,4,20131001,20131005,    9199751110.66,    5813690975.89,       12.54,       10.64,        0.63,     668260903.60,  431216210613.33,    4161204432.09,    463537323,    546428789,xhYWAJMSSSWWPScFejHjYyLLhHgxPNDOIRDlLOYTmuXhX               
2013-10-05 06:25:03,2013,4,20131001,20131005,    2512525909.93,    1381541144.88,        1.76,        1.57,        0.55,     122705909.91,  959972706132.30,    9042172778.50,    784010179,    881785453,0000000700
2013-10-05 08:27:01,2013,4,20131001,20131005,    3112992817.12,     780715696.64,       20.25,       20.09,        0.25,     234814393.88,   71953453528.50,    2607231528.36,     38547228,     38852246,QHHuZyDqgsKLdjOYTImSAhRExJnAelRZMlPQBnepXSQNQezLPcwRHZ      
2013-10-05 11:10:01,2013,4,20131001,20131005,    2812464596.49,     985108615.24,        2.94,        2.49,        0.35,     538715865.00,  993922537842.57,     350423491.22,    334938481,    395152553,0000000006
2013-10-05 14:38:03,2013,4,20131001,20131005,      75776593.22,      16961769.69,        0.04,        0.03,        0.22,     599418432.39,  504476472310.00,    3533671213.92,    472371529,    522714018,JdDyzDDZWIcRGGNcTQAHfhHjUJKtfyJBNYvNYDIeaKDYtWs             
2013-10-05 16:09:00,2013,4,20131001,20131005,    7523616014.40,    1486375787.99,       16.30,       13.90,        0.20,     981614012.81,  195056348934.60,    2066037787.49,     91189695,    106924920,0000000224
2013-10-05 18:45:04,2013,4,20131001,20131005,    4664851844.02,    1507996682.79,       46.93,       45.63,        0.32,     237716968.89,  988673748059.88,    5095674598.00,     32132969,     33046427,lShXFZIoCoSMbiPefLPHHOjGHvkdLoNXkUBBv                       
2013-10-05 19:14:02,2013,4,20131001,20131005,    2894282899.41,      10844564.37,        0.20,        0.20,        0.00,     188485339.77,  958083034270.80,    8125711883.82,     53403262,     53950070,0000000113
2013-10-05 23:32:03,2013,4,20131001,20131005,    3353995512.26,    1059477061.61,        1.38,        1.25,        0.32,     376690250.37,  321681936520.20,    3131696900.31,    767917379,    845333495,0000000685
2013-10-06 02:12:05,2013,4,20131001,20131006,    4906826541.10,    3390851280.91,      121.97,      110.84,        0.69,     990380946.50,  425922588090.06,    4891449214.40,     27801204,     30592864,0000000432
2013-10-06 04:32:01,2013,4,20131001,20131006,    5264467014.88,     688273038.29,        1.82,        1.56,        0.13,     641468824.20,  867924336856.29,      61043813.98,    378420007,    440231024,0000000509
2013-10-06 09:21:00,2013,4,20131001,20131006,    9973964969.58,    5624849130.23,        7.58,        6.44,        0.56,     380485202.56,  668199807163.16,    9740868712.80,    741681304,    873094428,0000000441
2013-10-06 11:59:01,2013,4,20131001,20131006,    6501054591.96,    1504698669.16,        5.31,        4.65,        0.23,     131694215.05,  228813041827.10,    1977710912.12,    283365570,    323526108,gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL       
2013-10-06 17:03:01,2013,4,20131001,20131006,    3526866547.13,    1943186554.31,        2.64,        2.55,        0.55,     913794394.78,  398743837943.29,    3580052633.11,    735386748,    760828959,tzytoApwJlPQKJNbXkGoSZfmGBIrdUpRCIjkmS                      
2013-10-06 19:46:05,2013,4,20131001,20131006,    3115071658.69,    1621288279.21,        3.31,        3.16,        0.52,     474839272.87,   93611298964.02,    8818833698.80,    489945821,    513721350,0000000206
2013-10-06 20:14:00,2013,4,20131001,20131006,    7156283929.43,    1763132831.84,       10.95,        9.35,        0.25,     698194119.53,  770255783863.10,    2096062704.88,    161050671,    188504818,0000000602
2013-10-06 21:07:02,2013,4,20131001,20131006,    7858919668.03,    2442383498.18,      132.68,      110.69,        0.31,      58413218.32,  592615614472.12,    7216331109.49,     18408337,     22065404,0000000122
2013-10-07 00:30:03,2013,4,20131001,20131007,    6054092250.18,    3654491140.12,       18.20,       17.35,        0.60,     641514148.79,  517519148366.03,    7148641346.31,    200842440,    210648578,VKlFVflqvUNrdKNrIoOVxVCiqTGSlegXZeTCViATHLVV                
2013-10-07 01:20:02,2013,4,20131001,20131007,     207859008.85,      24635064.91,        0.04,        0.03,        0.12,     610756202.19,  951517127667.72,    7823388978.68,    644855801,    762520321,0000000848
2013-10-07 05:14:05,2013,4,20131001,20131007,     592587250.43,     175158240.90,        2.26,        1.90,        0.30,     906324911.23,  714627394969.01,    6968808409.43,     77578238,     91963762,0000000165
2013-10-07 09:09:00,2013,4,20131001,20131007,    1883487232.05,     444421634.13,        0.74,        0.68,        0.24,     900300407.60,  392401002188.71,    9977713266.66,    603406891,    649011372,EtWBAuPfhBKTPaqXGIkOKFHSTvJjH                               
2013-10-07 09:23:05,2013,4,20131001,20131007,    9147581703.21,    5416876938.72,        8.18,        7.61,        0.59,     413395327.23,  960390461125.21,    6626108074.88,    662037206,    711704133,CHQFzauXlJjoawrZaWDWWIRpkxVuJPIZYQNRTREwvHDLwKpQxsSGtr      
2013-10-07 12:29:01,2013,4,20131001,20131007,    5449093701.48,    3097097221.58,        3.11,        2.94,        0.57,     713385398.83,   70384989858.60,    2975275591.47,    996148501,   1052247471,0000000474
