TX_ID,TX_NAME,TX_RATE
US1,U.S. Income Tax Bracket for the poor,0.15
US2,U.S. Income Tax Bracket for the huddled masses,0.275
US3,U.S. Income Tax Bracket for the masses,0.305
US4,U.S. Income Tax Bracket for the well to do,0.355
US5,U.S. Income Tax Bracket for the filthy rich,0.391
CN1,Canadian Income Tax for the poor,0.16
CN2,Canadian Income Tax for the huddled masses,0.22
CN3,Canadian Income Tax for the well to do,0.26
CN4,Canadian Income Tax for the filthy rich,0.29
AB1,Alberta Income Tax for children,0.0
AB2,Alberta Income Tax for blue collar workers,0.16
AB3,Alberta Income Tax for shcool teachers,0.26
AB4,Alberta Income Tax for white collar workers,0.32
AB5,Alberta Income Tax for doctors and lawyers,0.36
AB6,Alberta Income Tax for inherited wealth,0.39
AK1,Alaska Income Tax for children,0.0
AL1,Alabama Tax for blue collar workers,0.02
AL2,Alabama Tax for school teachers,0.04
AL3,Alabama Tax for inherited wealth,0.05
AR1,Arkansas Tax for children,0.01
AR2,Arkansas Tax for blue collar workers,0.0216
AR3,Arkansas Tax for school teachers,0.0333
AR4,Arkansas Tax for white collar workers,0.045
AR5,Arkansas Tax for doctors and lawyers,0.0567
AR6,Arkansas Tax for inherited wealth,0.07
AZ1,Arizona Income Tax for school teachers,0.0287
AZ2,Arizona Income Tax for blue collar workers,0.0341
AZ3,Arizona Income Tax for the masses,0.04
AZ4,Arizona Income Tax for doctors and lawyers,0.045
AZ5,Arizona Income Tax for inherited wealth,0.0504
BC1,British Columbia Income Tax for children,0.0
BC2,British Columbia Income Tax for school teachers,0.16
BC3,British Columbia Income Tax for the elderly,0.233
BC4,British Columbia Income Tax for lawyers,0.265
BC5,British Columbia Income Tax for workers,0.325
BC6,British Columbia Income Tax for the unemployed,0.357
BC7,British Columbia Income Tax for the masses,0.397
BC8,British Columbia Income Tax for everyone else,0.417
BC9,British Columbia Income Tax for those driving SUVs,0.427
BC10,British Columbia Income Tax for inherited wealth,0.45
CA1,California Tax for children,0.01
CA2,California Tax for school teachers,0.0266
CA3,California Tax for the masses,0.0432
CA4,California Tax for doctors and lawyers,0.0598
CA5,California Tax for blue collar workers,0.0764
CA6,California Tax for inherited wealth,0.093
CO1,Colorado Income Tax for inherited wealth,0.0475
CT1,Connecticut Tax for the masses,0.03
CT2,Connecticut Tax for inherited wealth,0.045
DC1,District of Columbia Income Tax for teachers,0.05
DC2,District of Columbia Income Tax for teachers,0.0725
DC3,District of Columbia Income Tax for workers,0.095
DE1,Delaware Income Tax for blue collar workers,0.022
DE2,Delaware Income Tax for the elderly,0.0283
DE3,Delaware Income Tax for the unemployed,0.0347
DE4,Delaware Income Tax for doctors and lawyers,0.041
DE5,Delaware Income Tax for everyone else,0.0473
DE6,Delaware Income Tax for the masses,0.0537
DE7,Delaware Income Tax for inherited wealth,0.06
FL1,Florida Income Tax for children,0.0
GA1,Georgia Income Tax for children,0.01
GA2,Georgia Income Tax for school teachers,0.02
GA3,Georgia Income Tax for blue collar workers,0.03
GA4,Georgia Income Tax for doctors and lawyers,0.04
GA5,Georgia Income Tax for the elderly,0.05
GA6,Georgia Income Tax for inherited wealth,0.06
HI1,Hawaii Income Tax for school teachers,0.016
HI2,Hawaii Income Tax for blue collar workers,0.0249
HI3,Hawaii Income Tax for the elderly,0.0339
HI4,Hawaii Income Tax for the masses,0.0428
HI5,Hawaii Income Tax for the unemployed,0.0518
HI6,Hawaii Income Tax for doctors and lawyers,0.0607
HI7,Hawaii Income Tax for everyone else,0.0696
HI8,Hawaii Income Tax for those driving SUVs,0.0786
HI9,Hawaii Income Tax for inherited wealth,0.0875
IA1,Iowa Income Tax for the elderly,0.0036
IA2,Iowa Income Tax for school teachers,0.0144
IA3,Iowa Income Tax for the masses,0.0252
IA4,Iowa Income Tax for blue collar workers,0.0359
IA5,Iowa Income Tax for the unemployed,0.0467
IA6,Iowa Income Tax for doctors and lawyers,0.0575
IA7,Iowa Income Tax for everyone else,0.0683
IA8,Iowa Income Tax for those driving SUVs,0.079
IA9,Iowa Income Tax for inherited wealth,0.0898
ID1,Idaho Income Tax for the elderly,0.02
ID2,Idaho Income Tax for the masses,0.0289
ID3,Idaho Income Tax for school teachers,0.0377
ID4,Idaho Income Tax for doctors and lawyers,0.0466
ID5,Idaho Income Tax for blue collar workers,0.0554
ID6,Idaho Income Tax for the unemployed,0.0643
ID7,Idaho Income Tax for everyone else,0.0731
ID8,Idaho Income Tax for inherited wealth,0.082
IL1,Illinois Income Tax for school teachers,0.03
IN1,Indiana Income Tax for the masses,0.034
KS1,Kansas Income Tax for doctors and lawyers,0.035
KS2,Kansas Income Tax for inherited wealth,0.0498
KS3,Kansas Income Tax for blue collar workers,0.0645
KY1,Kentucky Income Tax for the elderly,0.02
KY2,Kentucky Income Tax for school teachers,0.03
KY3,Kentucky Income Tax for blue collar workers,0.04
KY4,Kentucky Income Tax for the masses,0.05
KY5,Kentucky Income Tax for inherited wealth,0.06
LA1,Louisana Income Tax for the elderly,0.02
