pts,year,quarter,quarter_start_date,posting_date,revenue,earnings,eps,diluted_eps,margin,inventory,assets,liabilities,sh_out,diluted_sh_out,co_name_or_cik
1993-07-01 01:38:04,1993,3,19930701,19930701,    9505642813.63,    3336669779.04,       51.32,       44.92,        0.35,     996270618.83,  948741896427.52,    5806062794.20,     65022239,     74277425,0000000212
1993-07-01 08:20:02,1993,3,19930701,19930701,    3340896387.52,     392244466.05,        0.48,        0.41,        0.12,      30817449.95,  360762351908.30,    8131058180.68,    818308374,    954459922,0000000578
1993-07-01 13:04:05,1993,3,19930701,19930701,    6856523450.84,    2969634180.25,       22.41,       20.60,        0.43,     844405226.61,  503638351966.88,    5679248915.36,    132533085,    144156617,XbTdxPHplrvWLNnFQtOJgg                                      
1993-07-01 16:26:03,1993,3,19930701,19930701,     893691168.09,     466057811.16,        0.57,        0.48,        0.52,     548398188.41,  629826116479.84,    5124992519.87,    814704264,    974396040,AYWLbKUbzqFrLzXGDedsVpHWpnwOOOnNgjATRlRbAf                  
1993-07-01 17:03:05,1993,3,19930701,19930701,    9234530410.83,    1813441812.28,        1.98,        1.68,        0.20,     290700736.07,  482230331983.72,     210407251.00,    915095754,   1077276374,0000000374
1993-07-01 20:56:05,1993,3,19930701,19930701,    2756439844.85,    1396574606.10,        5.26,        5.21,        0.51,     124877356.58,  409823795406.31,    8099282855.62,    265677208,    268218351,XYreLZjfxjBvJEfNhCshSXODGqAEflcAGWqaGNKjBdRnGBML            
1993-07-02 00:47:02,1993,3,19930701,19930702,    8595231197.18,    2967714005.40,        4.08,        3.58,        0.35,     626219135.52,  139318399231.48,    2347452093.52,    727009685,    829169435,lIRsVCjCGyLYVBLBOyudOxlQksDSOrdlP                           
1993-07-02 08:21:01,1993,3,19930701,19930702,    2959840152.62,    1876049835.51,       12.88,       11.34,        0.63,     801541970.79,  273150549247.27,     823118264.97,    145707849,    165420899,0000000302
1993-07-02 11:02:01,1993,3,19930701,19930702,    4497108958.81,     707205793.35,        1.45,        1.29,        0.16,     888132728.63,  645872933969.93,    6288190535.51,    487792087,    549196224,0000000517
1993-07-02 18:11:00,1993,3,19930701,19930702,    1276398923.47,     324257907.47,        0.36,        0.33,        0.25,     860121678.85,  401783801944.35,    7555573521.05,    909568686,    968036528,oKkAATNokXjrQLRWAROnOxvqDGAXvlC                             
1993-07-02 18:55:01,1993,3,19930701,19930702,    4608051619.98,     505306020.79,        1.59,        1.46,        0.11,     671601515.24,  410746574071.29,    2392193701.87,    317868657,    346824571,0000000527
1993-07-02 21:38:05,1993,3,19930701,19930702,     189654878.18,      88827289.54,        0.11,        0.09,        0.47,     172765872.29,  896388333188.77,    7353087716.16,    789845635,    941197823,0000000210
1993-07-03 04:28:05,1993,3,19930701,19930703,    6064956753.88,    2472444615.37,        4.52,        4.25,        0.41,     486539262.27,   10435633260.18,    9147527852.78,    546453469,    581143140,QQEJQsNErEWUBihAqN                                          
1993-07-03 08:20:03,1993,3,19930701,19930703,    9940942451.97,    1817283461.24,        2.63,        2.63,        0.18,     779600066.08,  790757080505.17,    7672672591.25,    691236598,    691379702,0000000019
1993-07-03 10:47:05,1993,3,19930701,19930703,    3146771259.12,      52786319.70,        0.09,        0.08,        0.02,     357231124.12,  656537689154.13,    5521386664.39,    602226589,    668882839,GXPlSMRxrwRWSQGoFU                                          
1993-07-03 15:30:05,1993,3,19930701,19930703,    7863537497.30,    1273433427.87,        1.50,        1.36,        0.16,     949914694.34,  786721250532.60,    7940917172.78,    846648081,    935498959,FCkieDvUWMfVyEKAHEIeYGbEUgOLAzaQpgKUXJ                      
1993-07-03 16:53:02,1993,3,19930701,19930703,    3337157775.73,    2286585145.28,       17.77,       16.90,        0.69,     649716609.90,  216220963716.38,    7431522649.79,    128683586,    135268099,0000000542
1993-07-03 17:56:02,1993,3,19930701,19930703,    1598183197.03,    1118585310.50,        6.85,        5.74,        0.70,      13602831.73,  249525500033.29,    1997576387.10,    163271436,    194753981,0000000539
1993-07-03 21:52:00,1993,3,19930701,19930703,    4506462848.63,    2964243782.16,        3.01,        2.63,        0.66,     223689961.73,  137041452400.24,    9771403908.09,    983806935,   1127773514,PmtODMpCJcBNaSVJNhhBL                                       
1993-07-04 04:36:04,1993,3,19930701,19930704,    9735928022.00,    1657286291.44,        3.42,        3.20,        0.17,      32125811.80,  245760145968.70,    2068978371.15,    483969722,    518491027,xaQypXUjVekirwCOALeuBAPkgELLSoxMCUmU                        
1993-07-04 07:52:04,1993,3,19930701,19930704,    7386820664.22,    5033242390.49,       11.62,       11.14,        0.68,     985374340.53,  350834273072.15,    8125301802.88,    433060208,    451896866,ytlQTCvrwgtRlBlUVCRMMhI                                     
1993-07-04 11:13:02,1993,3,19930701,19930704,    7639190016.14,     666184033.68,        1.23,        1.05,        0.09,     548285238.89,  693760381011.64,    9985449979.29,    542003213,    635972679,0000000233
1993-07-04 14:29:00,1993,3,19930701,19930704,    4379610086.09,    1649071592.92,        2.42,        2.15,        0.38,     553755465.54,   51014395609.85,    2262674682.59,    680190869,    766926730,LEMeSpDsEVDPYmOxZOPglQcJGMBqtVFKPpqomv                      
