pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik
1980-06-24 22:31:05,AAAAAAAAAAAAAZE,COMMON,ACTV,FNaxLfCOxzGTMfWUTeIRT                                                 ,AMEX  ,201478120    ,18681123,18620417,        2.35,swaSHRQuKBkOQzDSWqmePyUKrMSsbxr                             
1980-06-25 02:32:01,AAAAAAAAAAAAAYY,COMMON,ACTV,cBNIMCwgVaQeqEFUDciRAVPYWZxgzOBBZFQeIQaLBCCNCSHcpwQzSAGyOxzSgXTOrc    ,NYSE  ,803567378    ,19490211,19720609,        2.93,0000000205
1980-06-25 14:21:01,AAAAAAAAAAAAAZD,PREF_C,ACTV,pp EhDKzFTnxLQITYOb tVFIWPPGBiXNNDSAoqGooANtBzPCUldAdaBAh             ,AMEX  ,899996557    ,19070715,19151227,        0.87,0000000113
1980-06-26 12:30:02,AAAAAAAAAAAAALS,COMMON,INAC,HwXoJFsIHidFUFwFzULPyEFAP oKLCyEDFqGTVcBNMZGCLrhf                     ,PCX   ,514255672    ,18931108,18640131,        0.89,0000000105
1980-06-27 02:01:05,AAAAAAAAAAAAAZC,COMMON,ACTV,wBaxbgEraYQJlJDLNNVkLTDWE vQNQcUXMzToDzLiMpqZkohGyLxSGFhEdjUSMu       ,NASDAQ,311476083    ,19270108,19290116,        1.44,0000000187
1980-06-27 20:43:05,AAAAAAAAAAAAAAC,COMMON,ACTV,hKwKvUYqaqLs qKBNWvxS                                                 ,AMEX  ,471647143    ,19440705,18860508,        1.83,0000000263
1980-06-28 12:48:03,AAAAAAAAAAAAAZB,PREF_A,ACTV,VufsArbLORpGAMVDNNBBSTpxfMLDNPxVnVbHEQj hCzDnHUlsTQChPhSpIsXAWJ       ,NYSE  ,123781294    ,18590307,19351221,        2.45,0000000102
1980-06-29 06:23:03,AAAAAAAAAAAAAZG,COMMON,ACTV,iebMLKpBxGCtFAEpJumPAG ybYAQbtxdISIaSjUglWBcBbyWfaTn                  ,NYSE  ,343608683    ,19150204,19430330,        1.61,0000000180
1980-06-29 10:49:01,AAAAAAAAAAAAAZA,PREF_A,ACTV,cWhzdExWLbVODGI                                                       ,NYSE  ,407267780    ,18921130,18970922,        2.30,jnhGOQaSGPLzBRc                                             
1980-06-30 18:04:03,AAAAAAAAAAAAAZF,COMMON,ACTV,uMXuHVhLIFKuZKBOKMVbLDEANGCMUDJOOvTTSsAapxChDgHvrGfdDHf               ,PCX   ,49542064     ,19290916,19700221,        0.02,rqMbvwSCBGYCGMEPKQeELcTKYUzuwRMWTqYPIirIgRbOCStxEXLeiAEZJCb 
1980-06-30 23:59:05,AAAAAAAAAAAAAYZ,PREF_A,ACTV,CmGKavptxJPETqAp                                                      ,NASDAQ,916342451    ,18701222,19510509,        0.37,KAmRPyHMEQOOkNBNZcTbWPRQuYBeFUYDNWYT                        
